"Precision","Recall","F1-measure"
"A_M1_E1",0.713956170703576,0.758578431372549,0.735591206179441
"A_M1_E2",0.695791001451379,0.740729295426452,0.717557251908397
"B_M1_E1",0.677893738140417,0.726856561546287,0.701521845851743
"B_M1_E2",0.711101398601399,0.789805825242718,0.748390064397424
"A_M2_E1",0.688479262672811,0.915441176470588,0.7859021567596
"A_M2_E2",0.688133140376266,0.881644004944376,0.772961257111894
"B_M2_E1",0.672926447574335,0.874872838250254,0.760725342768687
"B_M2_E2",0.693289569657185,0.922815533980582,0.791753436068305
